# gunzip -c align/15/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:00 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.5,55) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,43.8,53) frames.
Overall, nonsilence accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, sil accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (43,60.2,167) frames.
Overall, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,15) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,9) frames.
Overall, EH1_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,13) frames.
Overall, D_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,11) frames.
Overall, AH0_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
Overall, L_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,15) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,14) frames.
Overall, IH0_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,7) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, DH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,6) frames.
Overall, IH1_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,16) frames.
Overall, R_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,7) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,13) frames.
Overall, IH1_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,9) frames.
Overall, AE1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,15) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,8) frames.
Overall, AE1_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,16) frames.
Overall, ER0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,13) frames.
Overall, HH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,13) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,13) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,19) frames.
Overall, AH1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, K_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.4,14) frames.
Overall, L_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,8) frames.
Overall, AA1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,12) frames.
Overall, D_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,16) frames.
Overall, AH0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,6) frames.
Overall, F_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,15) frames.
Overall, IY1_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,16) frames.
Overall, IY0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.1,17) frames.
Overall, S_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,13) frames.
Overall, T_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,13) frames.
Overall, V_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,6) frames.
Overall, AY1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,17) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,10) frames.
Overall, N_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,5) frames.
Overall, R_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.1,13) frames.
Overall, P_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,14) frames.
Overall, S_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,12) frames.
Overall, AY1_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.4,14) frames.
Overall, NG_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,19) frames.
Overall, UW1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,10) frames.
