# gunzip -c align/4/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:49 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,38.2,54) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (46,40.6,50) frames.
Overall, nonsilence accounts for 94.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
Overall, sil accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (37,57.0,165) frames.
Overall, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,17) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,11) frames.
Overall, EH1_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, D_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,8) frames.
Overall, L_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.1,13) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.5,18) frames.
Overall, AH0_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,6) frames.
Overall, IH1_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.6,20) frames.
Overall, IH0_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,9) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, DH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,9) frames.
Overall, R_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, AE1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,21) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,8) frames.
Overall, HH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, AH1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,8) frames.
Overall, ER0_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,14) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.6,22) frames.
Overall, AE1_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,17) frames.
