# gunzip -c align/33/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:36 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.2,54) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,44.0,54) frames.
Overall, nonsilence accounts for 93.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, sil accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (40,57.0,166) frames.
Overall, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,16) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,9) frames.
Overall, EH1_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,12) frames.
Overall, D_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, AH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,8) frames.
Overall, IH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,16) frames.
Overall, L_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, DH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,6) frames.
Overall, IH0_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,6) frames.
Overall, IH1_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.5,8) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, R_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,7) frames.
Overall, AE1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,14) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,8) frames.
Overall, AE1_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,15) frames.
Overall, ER0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,14) frames.
Overall, HH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,13) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,19) frames.
Overall, AH1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.8,9) frames.
Overall, K_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,14) frames.
Overall, L_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,8) frames.
Overall, AA1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,13) frames.
Overall, D_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,15) frames.
Overall, AH0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,4) frames.
Overall, F_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,15) frames.
Overall, IY0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.0,19) frames.
Overall, IY1_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,10) frames.
Overall, S_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,14) frames.
Overall, T_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,15) frames.
Overall, V_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,7) frames.
