# gunzip -c align/27/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:24 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.3,55) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,44.2,54) frames.
Overall, nonsilence accounts for 93.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, sil accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (41,58.3,168) frames.
Overall, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,15) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,10) frames.
Overall, EH1_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,12) frames.
Overall, AH0_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,8) frames.
Overall, D_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,11) frames.
Overall, L_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.1,16) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,13) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, DH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,6) frames.
Overall, IH0_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,6) frames.
Overall, IH1_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,16) frames.
Overall, IH1_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.7,8) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, R_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,7) frames.
Overall, AE1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,14) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,8) frames.
Overall, AE1_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,15) frames.
Overall, ER0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,13) frames.
Overall, HH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,13) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,19) frames.
Overall, AH1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,9) frames.
Overall, K_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,14) frames.
Overall, L_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,8) frames.
Overall, AH0_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,4) frames.
Overall, D_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,15) frames.
Overall, AA1_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,12) frames.
Overall, F_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,15) frames.
Overall, IY0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.9,20) frames.
Overall, IY1_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,10) frames.
Overall, S_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,14) frames.
Overall, T_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,15) frames.
