# gunzip -c align/36/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:42 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.2,54) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,44.0,53) frames.
Overall, nonsilence accounts for 94.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, sil accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (42,58.9,168) frames.
Overall, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,16) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,9) frames.
Overall, EH1_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,12) frames.
Overall, AH0_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,8) frames.
Overall, D_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,11) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, L_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, IH1_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,16) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,12) frames.
Overall, DH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,6) frames.
Overall, IH0_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,6) frames.
Overall, IH1_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,8) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, R_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,7) frames.
Overall, AE1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,13) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,8) frames.
Overall, AE1_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,14) frames.
Overall, ER0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.0,14) frames.
Overall, HH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,14) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,13) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,19) frames.
Overall, K_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,14) frames.
Overall, L_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,8) frames.
Overall, AH1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.8,8) frames.
Overall, AA1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,13) frames.
Overall, D_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,15) frames.
Overall, AH0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,5) frames.
Overall, F_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,15) frames.
Overall, IY0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.0,19) frames.
Overall, IY1_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,10) frames.
Overall, S_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,14) frames.
Overall, T_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,15) frames.
Overall, V_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,7) frames.
Overall, AY1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,17) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,9) frames.
Overall, N_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,6) frames.
Overall, R_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, P_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,14) frames.
Overall, S_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,11) frames.
Overall, AY1_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,13) frames.
Overall, NG_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,17) frames.
Overall, UW1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, AH0_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,6) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,14) frames.
Overall, OW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.0,22) frames.
Overall, R_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,12) frames.
Overall, AH0_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,6) frames.
Overall, V_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,7) frames.
Overall, EY1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.1,14) frames.
Overall, K_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,10) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,21) frames.
