# gunzip -c align/5/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:51 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,38.4,54) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (46,40.6,50) frames.
Overall, nonsilence accounts for 94.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,16) frames.
Overall, sil accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (38,58.8,166) frames.
Overall, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,19) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, EH1_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,14) frames.
Overall, D_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, L_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,11) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.3,18) frames.
Overall, AH0_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,5) frames.
Overall, IH0_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,8) frames.
Overall, IH1_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,19) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,12) frames.
Overall, DH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, R_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,11) frames.
Overall, AE1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,13) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, ER0_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
Overall, HH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,11) frames.
Overall, AH1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,8) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,14) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,22) frames.
Overall, AE1_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,17) frames.
Overall, K_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.3,14) frames.
Overall, L_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.5,15) frames.
Overall, AA1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,17) frames.
Overall, D_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,13) frames.
Overall, IH0_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.7,8) frames.
Overall, IH1_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,13) frames.
Overall, F_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,21) frames.
Overall, IY1_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,18) frames.
Overall, IY0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.4,20) frames.
